accident_year,development_year,paid_amount,case_reserve
2020,2.0,3550,2126
2020,2.0,2126,0
2021,2.0,4798,21411
2021,2.0,189,21222
2021,2.0,1364,19858
2021,2.0,543,19315
2021,2.0,2780,16535
2021,2.0,678,15857
2020,0.0,32990,62295
2020,0.0,62295,0
2024,1.0,838,368748
2024,1.0,175094,193654
2024,1.0,38734,154920
2024,1.0,8695,146225
2024,1.0,98177,48048
2023,0.0,567270,0
2022,0.0,122004,196047
2022,0.0,196047,0
2020,0.0,23071,110189
2020,0.0,47325,62864
2020,0.0,49361,13503
2020,0.0,13503,0
2020,3.0,8064,181741
2020,3.0,181741,0
2021,3.0,294835,270765
2021,3.0,152682,118083
2021,3.0,118083,0
2020,0.0,8871,3187
2020,0.0,1197,1990
2020,0.0,1990,0
2019,5.0,40514,88609
2019,5.0,35232,53377
2019,5.0,26914,26463
2019,5.0,26463,0
2021,4.0,21161,86994
2021,4.0,86994,0
2018,1.0,53800,0
2023,1.0,61465,14250
2019,2.0,28839,131134
2019,2.0,26043,105091
2019,2.0,73072,32019
2019,2.0,24713,7306
2019,2.0,7306,0
2025,0.0,2080,6468
2025,0.0,1142,5326
2025,0.0,75,5251
2025,0.0,1088,4163
2020,4.0,125466,0
2023,2.0,32945,46718
2022,0.0,14443,52104
2022,0.0,591,51513
2022,0.0,10130,41383
2022,0.0,13880,27503
2022,0.0,17650,9853
2022,0.0,3181,6672
2019,1.0,125,14350
2019,1.0,7534,6816
2019,1.0,1994,4822
2019,1.0,1206,3616
2019,1.0,2343,1273
2019,1.0,1273,0
2023,2.0,329943,62297
2023,2.0,62297,0
2024,0.0,15067,114617
2024,0.0,14808,99809
2024,0.0,21279,78530
2022,2.0,59354,9294
2023,1.0,13030,123212
2023,1.0,31550,91662
2023,1.0,821,90841
2023,1.0,9547,81294
2021,0.0,2365,440511
2021,0.0,59753,380758
2021,0.0,18259,362499
2021,0.0,268329,94170
2021,0.0,82995,11175
2021,0.0,11175,0
2020,5.0,22170,44418
2020,5.0,11878,32540
2020,5.0,7626,24914
2020,5.0,21070,3844
2020,5.0,3844,0
2022,3.0,6638,43236
2022,3.0,8427,34809
2022,3.0,6769,28040
2022,3.0,1338,26702
2022,3.0,329,26373
2021,1.0,10198,2446
2021,1.0,2446,0
2024,0.0,7457,33647
2024,0.0,14445,19202
2024,0.0,4395,14807
2024,0.0,3824,10983
2024,0.0,9715,1268
2024,0.0,1268,0
2024,0.0,2303,17319
2024,0.0,11920,5399
2024,0.0,819,4580
2020,3.0,5595,102157
2020,3.0,657,101500
2020,3.0,29570,71930
2020,3.0,4627,67303
2020,3.0,36229,31074
2020,3.0,31074,0
2020,1.0,280230,0
2020,2.0,6157,95323
2020,2.0,52732,42591
2020,2.0,33930,8661
2020,2.0,8661,0
2022,3.0,3970,8509
2022,3.0,2604,5905
2022,3.0,1209,4696
2022,3.0,4696,0
2024,0.0,150,44634
2024,0.0,4786,39848
2024,0.0,39848,0
2022,3.0,19331,79722
2022,3.0,796,78926
2022,3.0,35566,43360
2022,3.0,7030,36330
2023,0.0,9420,114885
2023,0.0,18029,96856
2023,0.0,24761,72095
2023,0.0,37954,34141
2023,0.0,32399,1742
2023,0.0,1742,0
2019,4.0,2013,65328
2019,4.0,15638,49690
2019,4.0,26955,22735
2019,4.0,10129,12606
2019,4.0,10347,2259
2019,4.0,2259,0
2021,0.0,3594,70636
2021,0.0,30186,40450
2021,0.0,40450,0
2021,3.0,67892,8760
2021,3.0,8760,0
2021,4.0,44058,47894
2021,4.0,14330,33564
2021,4.0,17366,16198
2021,4.0,9241,6957
2021,4.0,6957,0
2022,1.0,5467,13111
2022,1.0,1589,11522
2022,1.0,8695,2827
2019,4.0,26981,26982
2019,4.0,966,26016
2019,4.0,9777,16239
2019,4.0,7054,9185
2019,4.0,1504,7681
2019,4.0,7681,0
2022,3.0,26519,37961
2022,3.0,27993,9968
2021,2.0,4622,44263
2021,2.0,5037,39226
2021,2.0,3550,35676
2021,2.0,2950,32726
2021,2.0,5013,27713
2018,5.0,8830,59126
2018,5.0,59126,0
2021,3.0,1211,49374
2021,3.0,10932,38442
2024,0.0,639,1646
2024,0.0,303,1343
2024,0.0,203,1140
2024,0.0,135,1005
2024,0.0,258,747
2024,0.0,273,474
2020,2.0,10029,2732
2020,2.0,643,2089
2020,2.0,2089,0
2018,2.0,3382,36262
2018,2.0,13413,22849
2018,2.0,271,22578
2018,2.0,10060,12518
2018,2.0,12518,0
2021,2.0,149363,0
2023,2.0,53336,127237
2023,2.0,26495,100742
2023,2.0,39441,61301
2023,0.0,32721,0
2023,1.0,4409,84947
2023,1.0,7107,77840
2023,1.0,3879,73961
2023,1.0,12753,61208
2023,1.0,13578,47630
2023,1.0,1726,45904
2022,3.0,18085,15766
2022,3.0,4941,10825
2019,5.0,11435,164678
2019,5.0,28497,136181
2019,5.0,18061,118120
2019,5.0,19168,98952
2019,5.0,85933,13019
2019,5.0,13019,0
2022,1.0,81217,400850
2022,1.0,125568,275282
2022,1.0,53574,221708
2022,1.0,79390,142318
2022,1.0,66976,75342
2022,1.0,75342,0
2024,0.0,9353,26580
2024,1.0,414036,0
2022,3.0,44692,83933
2022,3.0,1808,82125
2022,3.0,9336,72789
2022,3.0,22915,49874
2022,3.0,42405,7469
2022,3.0,7469,0
2021,4.0,8944,82885
2021,4.0,6106,76779
2021,4.0,41917,34862
2021,4.0,5895,28967
2021,4.0,8010,20957
2021,4.0,20957,0
2023,0.0,20613,36715
2021,1.0,26965,60002
2021,1.0,29479,30523
2021,1.0,30523,0
2022,0.0,121746,0
2023,1.0,2767,138315
2023,1.0,30117,108198
2023,1.0,11131,97067
2023,1.0,27800,69267
2023,1.0,18194,51073
2021,1.0,26154,20030
2021,1.0,18496,1534
2021,1.0,1039,495
2021,1.0,495,0
2024,1.0,4861,10203
2024,1.0,3705,6498
2024,1.0,122,6376
2019,4.0,40927,25354
2019,4.0,10061,15293
2019,4.0,10724,4569
2019,4.0,4569,0
2022,0.0,366,4161
2022,0.0,152,4009
2022,0.0,1158,2851
2022,0.0,908,1943
2022,0.0,923,1020
2022,0.0,1020,0
2024,1.0,3557,43044
2024,1.0,25056,17988
2024,1.0,4465,13523
2024,1.0,13523,0
2018,4.0,3986,27099
2018,4.0,22057,5042
2018,4.0,5042,0
2018,2.0,311,10490
2018,2.0,2101,8389
2018,2.0,4816,3573
2018,2.0,503,3070
2018,2.0,3070,0
2020,3.0,6326,27349
2020,3.0,14392,12957
2020,3.0,7133,5824
2020,3.0,5824,0
2019,4.0,7599,0
2021,4.0,5281,13939
2020,3.0,1997,15839
2020,3.0,43,15796
2020,3.0,3525,12271
2020,3.0,7800,4471
2020,3.0,4387,84
2020,3.0,84,0
2020,0.0,19703,26504
2020,0.0,26504,0
2023,1.0,1395,100358
2023,1.0,19030,81328
2023,1.0,1564,79764
2023,1.0,9590,70174
2023,1.0,10195,59979
2023,1.0,6691,53288
2022,2.0,56844,0
2021,2.0,10053,36084
2021,2.0,8038,28046
2021,2.0,8751,19295
2021,2.0,13674,5621
2021,2.0,3818,1803
2021,2.0,1803,0
2024,1.0,20978,127534
2024,1.0,1607,125927
2024,1.0,9855,116072
2019,2.0,5063,20951
2019,2.0,1957,18994
2019,2.0,2706,16288
2019,2.0,2473,13815
2024,1.0,9591,39352
2024,1.0,2749,36603
2024,1.0,8120,28483
2024,0.0,12970,49567
2024,0.0,8349,41218
2024,0.0,4694,36524
2024,0.0,27093,9431
2024,0.0,3318,6113
2024,0.0,6113,0
2023,0.0,11200,72761
2023,0.0,54513,18248
2023,0.0,6506,11742
2023,0.0,11742,0
2021,0.0,7771,18640
2021,0.0,15125,3515
2021,0.0,3515,0
2025,0.0,1639,34741
2025,0.0,1417,33324
2025,0.0,1838,31486
2025,0.0,6524,24962
2025,0.0,1545,23417
2025,0.0,6038,17379
2024,0.0,14846,13714
2024,0.0,4156,9558
2024,0.0,9123,435
2024,0.0,435,0
2024,0.0,9601,7610
2023,1.0,6440,28004
2023,1.0,12650,15354
2023,1.0,8206,7148
2022,1.0,8882,117287
2022,1.0,12131,105156
2022,1.0,724,104432
2022,1.0,4819,99613
2022,1.0,1224,98389
2022,1.0,3683,94706
2023,0.0,36914,107149
2022,0.0,87152,176239
2022,0.0,117660,58579
2022,0.0,58579,0
2024,0.0,35002,106618
2024,0.0,27953,78665
2024,0.0,12713,65952
2024,0.0,65952,0
2022,3.0,89466,89011
2022,3.0,34534,54477
2022,3.0,54477,0
2020,2.0,40096,155582
2020,2.0,91634,63948
2020,2.0,63948,0
2024,1.0,3858,22878
2024,1.0,18452,4426
2024,1.0,4426,0
2023,2.0,269,13059
2023,2.0,1330,11729
2023,2.0,795,10934
2023,2.0,963,9971
2023,2.0,3274,6697
2023,2.0,6697,0
2021,4.0,1167,58088
2021,4.0,14808,43280
2021,4.0,13274,30006
2021,4.0,6419,23587
2021,4.0,3390,20197
2021,4.0,9576,10621
2022,3.0,3630,23329
2022,3.0,552,22777
2022,3.0,8408,14369
2022,3.0,3570,10799
2024,0.0,8057,32020
2024,0.0,2438,29582
2024,0.0,14108,15474
2024,0.0,3482,11992
2024,0.0,8449,3543
2024,0.0,3543,0
2020,1.0,17585,34783
2020,1.0,34783,0
2020,2.0,1616,6245
2020,2.0,2712,3533
2020,0.0,108355,140550
2020,0.0,77005,63545
2020,0.0,63545,0
2020,1.0,2211,72299
2020,1.0,72299,0
2020,4.0,26466,0
2023,2.0,1369,13644
2023,2.0,2619,11025
2023,2.0,4520,6505
2023,0.0,3863,39327
2023,0.0,8798,30529
2023,0.0,7693,22836
2023,0.0,5936,16900
2023,0.0,10599,6301
2023,0.0,6301,0
2022,3.0,57009,48815
2022,3.0,4943,43872
2022,3.0,249,43623
2022,3.0,43623,0
2020,3.0,482541,0
2024,1.0,63544,0
2022,0.0,3911,65149
2022,0.0,6761,58388
2022,0.0,10799,47589
2022,0.0,30535,17054
2022,0.0,5837,11217
2022,0.0,11217,0
2024,0.0,3083,13094
2024,0.0,4102,8992
2020,4.0,300795,136182
2020,4.0,136182,0
2020,0.0,83999,92788
2020,0.0,10041,82747
2020,0.0,13462,69285
2020,0.0,32046,37239
2020,0.0,908,36331
2020,0.0,36331,0
2018,4.0,466997,179660
2018,4.0,124114,55546
2018,4.0,55546,0
2021,2.0,3001,6414
2019,6.0,3259,120224
2019,6.0,13221,107003
2019,6.0,19416,87587
2019,6.0,19670,67917
2019,6.0,67917,0
2024,1.0,64028,590886
2024,1.0,590886,0
2024,0.0,167631,0
2023,0.0,5592,29309
2023,0.0,18348,10961
2023,0.0,1172,9789
2023,0.0,9671,118
2023,0.0,118,0
2018,0.0,3263,59749
2018,0.0,1028,58721
2018,0.0,11532,47189
2018,0.0,47189,0
2024,1.0,4190,329171
2024,1.0,30120,299051
2024,1.0,36107,262944
2024,1.0,2829,260115
2024,1.0,10681,249434
2024,1.0,11955,237479
2022,3.0,4393,46045
2022,3.0,20706,25339
2022,3.0,5443,19896
2022,3.0,229,19667
2019,2.0,2863,14734
2019,2.0,4611,10123
2019,2.0,3504,6619
2019,2.0,1132,5487
2019,2.0,5487,0
2025,0.0,6950,357635
2025,0.0,10955,346680
2025,0.0,181,346499
2025,0.0,20291,326208
2025,0.0,22139,304069
2025,0.0,18264,285805
2021,0.0,7946,53025
2021,0.0,17697,35328
2021,0.0,10320,25008
2022,3.0,283626,100902
2022,3.0,37265,63637
2022,3.0,63637,0
2022,2.0,58731,210331
2022,2.0,4234,206097
2022,2.0,75783,130314
2022,2.0,31604,98710
2022,2.0,60325,38385
2022,2.0,38385,0
2021,0.0,10270,0
2022,1.0,13773,186921
2022,1.0,104577,82344
2024,1.0,5644,32523
2024,1.0,9373,23150
2024,1.0,8510,14640
2024,1.0,4420,10220
2024,1.0,9338,882
2024,1.0,882,0
2023,0.0,16175,35464
2023,0.0,1676,33788
2023,0.0,1793,31995
2023,0.0,4105,27890
2020,5.0,28532,18654
2020,5.0,12931,5723
2020,5.0,3622,2101
2020,5.0,2101,0
2024,0.0,3300,50722
2024,0.0,15482,35240
2024,0.0,4795,30445
2025,0.0,928,20285
2025,0.0,143,20142
2025,0.0,7155,12987
2025,0.0,324,12663
2025,0.0,2251,10412
2022,2.0,7957,49205
2022,2.0,1487,47718
2022,2.0,5605,42113
2018,3.0,91997,259243
2018,3.0,507,258736
2018,3.0,48487,210249
2018,3.0,60623,149626
2018,3.0,27174,122452
2018,3.0,122452,0
2022,3.0,36776,51722
2022,3.0,7177,44545
2022,3.0,28870,15675
2022,3.0,15675,0
2024,1.0,28804,310066
2024,1.0,65008,245058
2024,1.0,74956,170102
2024,1.0,15131,154971
2024,1.0,1961,153010
2024,1.0,23339,129671
2023,2.0,9323,105796
2023,2.0,30168,75628
2023,2.0,30424,45204
2023,2.0,45204,0
2024,1.0,6333,128861
2024,1.0,18327,110534
2024,1.0,3561,106973
2024,1.0,14400,92573
2024,1.0,9619,82954
2023,2.0,24185,367708
2023,2.0,6923,360785
2023,2.0,7522,353263
2023,2.0,21495,331768
2023,2.0,37647,294121
2023,2.0,46976,247145
2025,0.0,85883,120028
2025,0.0,34002,86026
2025,0.0,67594,18432
2025,0.0,18432,0
2021,3.0,87244,74330
2021,3.0,15505,58825
2021,3.0,17643,41182
2021,3.0,41182,0
2022,0.0,8589,28816
2022,0.0,1325,27491
2022,0.0,1917,25574
2022,0.0,7252,18322
2022,0.0,747,17575
2022,0.0,935,16640
2019,0.0,3585,11994
2019,0.0,422,11572
2019,0.0,3195,8377
2019,0.0,3247,5130
2019,0.0,4264,866
2019,0.0,866,0
2024,1.0,54703,0
2023,1.0,36518,24099
2023,1.0,12846,11253
2023,1.0,11253,0
2024,1.0,4075,52645
2024,1.0,3784,48861
2024,1.0,8961,39900
2024,1.0,2608,37292
2020,1.0,12579,8249
2020,1.0,2835,5414
2020,1.0,3826,1588
2020,1.0,1588,0
2019,6.0,883,39820
2019,6.0,2815,37005
2019,6.0,13578,23427
2019,6.0,19209,4218
2019,6.0,4218,0
2019,3.0,1720,42158
2019,3.0,5053,37105
2019,3.0,14845,22260
2019,3.0,19525,2735
2019,3.0,2735,0
2019,4.0,53168,104445
2019,4.0,22532,81913
2019,4.0,65170,16743
2019,4.0,16743,0
2018,3.0,13803,5405
2018,3.0,67,5338
2018,3.0,5338,0
2020,4.0,36002,189411
2020,4.0,59495,129916
2020,4.0,49459,80457
2020,4.0,35609,44848
2020,4.0,1612,43236
2020,4.0,43236,0
2018,5.0,8,14427
2018,5.0,1513,12914
2018,5.0,4969,7945
2018,5.0,2680,5265
2021,0.0,124943,337458
2021,0.0,100929,236529
2021,0.0,236529,0
2021,4.0,37864,270701
2021,4.0,43771,226930
2021,4.0,76821,150109
2022,0.0,63564,95044
2022,0.0,53295,41749
2022,0.0,41749,0
2019,3.0,28665,133548
2019,3.0,30508,103040
2019,3.0,103040,0
2024,1.0,1890,80113
2024,1.0,14296,65817
2024,1.0,22191,43626
2024,1.0,13176,30450
2024,1.0,13283,17167
2023,2.0,31922,72534
2023,2.0,14596,57938
2023,2.0,37274,20664
2023,2.0,3447,17217
2023,2.0,17217,0
2023,0.0,9205,271952
2023,0.0,163476,108476
2023,0.0,108476,0
2019,5.0,27574,78463
2019,5.0,6719,71744
2019,5.0,15526,56218
2019,5.0,47963,8255
2019,5.0,8255,0
2020,4.0,1622,182120
2020,4.0,111734,70386
2020,4.0,70386,0
2020,3.0,3641,18465
2020,3.0,2726,15739
2020,3.0,7976,7763
2020,3.0,4322,3441
2020,3.0,676,2765
2020,3.0,2765,0
2022,0.0,42442,293034
2022,0.0,53872,239162
2022,0.0,117052,122110
2022,0.0,122110,0
2022,1.0,27801,41556
2022,1.0,4144,37412
2022,1.0,2242,35170
2022,1.0,10185,24985
2022,1.0,15302,9683
2022,1.0,9683,0
2021,3.0,12312,80165
2021,3.0,56996,23169
2020,3.0,84926,304185
2020,3.0,30570,273615
2020,3.0,139832,133783
2020,3.0,77292,56491
2022,0.0,3133,52374
2022,0.0,29356,23018
2020,2.0,34204,45459
2020,2.0,45459,0
2020,3.0,1273,13690
2020,3.0,6870,6820
2022,2.0,18693,27876
2022,2.0,7477,20399
2022,2.0,7583,12816
2022,2.0,12816,0
2022,3.0,9821,123362
2022,3.0,4602,118760
2022,3.0,11269,107491
2022,3.0,10634,96857
2020,2.0,209399,50841
2020,2.0,19693,31148
2021,3.0,33284,106118
2021,3.0,59134,46984
2021,3.0,46984,0
2019,0.0,6215,5170
2019,0.0,3937,1233
2019,0.0,1233,0
2021,0.0,10935,19403
2021,0.0,13881,5522
2021,0.0,5522,0
2024,1.0,10015,384263
2024,1.0,58652,325611
2024,1.0,20367,305244
2024,1.0,154659,150585
2024,1.0,195764,77556
2019,3.0,37918,63882
2019,3.0,61712,2170
2019,3.0,2170,0
2021,2.0,69646,0
2025,0.0,7578,26156
2025,0.0,7708,18448
2025,0.0,1962,16486
2025,0.0,10325,6161
2023,2.0,15678,23494
2023,2.0,23494,0
2018,2.0,9128,30673
2018,2.0,10058,20615
2018,2.0,14411,6204
2018,2.0,6204,0
2020,2.0,3202,9160
2020,2.0,2707,6453
2020,2.0,598,5855
2020,2.0,4612,1243
2020,2.0,1243,0
2025,0.0,14712,65706
2025,0.0,23333,42373
2025,0.0,8374,33999
2025,0.0,33999,0
2019,2.0,1415,247327
2019,2.0,133356,113971
2019,2.0,63447,50524
2019,2.0,50524,0
2021,4.0,34923,33649
2021,4.0,33649,0
2021,3.0,57917,70443
2021,3.0,9445,60998
2021,3.0,60998,0
2018,3.0,2666,24798
2018,3.0,2517,22281
2018,3.0,11262,11019
2018,3.0,7775,3244
2018,3.0,3244,0
2019,1.0,1338,15615
2019,1.0,12024,3591
2019,1.0,3591,0
2024,1.0,10325,54084
2024,1.0,37399,16685
2024,1.0,4104,12581
2022,3.0,69,8818
2022,3.0,3294,5524
2022,3.0,2037,3487
2023,0.0,17568,31775
2023,0.0,31775,0
2021,0.0,142886,39541
2021,0.0,39541,0
2021,3.0,33483,37846
2021,3.0,37846,0
2018,5.0,84144,28619
2018,5.0,1211,27408
2018,5.0,27408,0
2023,0.0,3,10061
2023,0.0,192,9869
2023,0.0,71,9798
2023,0.0,470,9328
2023,0.0,1378,7950
2019,5.0,10969,0
2021,3.0,105630,175411
2021,3.0,19211,156200
2022,0.0,5512,80872
2022,0.0,13347,67525
2022,0.0,2793,64732
2022,0.0,4889,59843
2021,2.0,46261,163203
2021,2.0,24326,138877
2021,2.0,118434,20443
2021,2.0,20443,0
2024,1.0,78108,0
2020,5.0,3806,36595
2020,5.0,2074,34521
2020,5.0,3678,30843
2022,0.0,292,104450
2022,0.0,6697,97753
2022,0.0,4656,93097
2022,0.0,7932,85165
2022,0.0,3663,81502
2022,0.0,1885,79617
2024,0.0,817,111754
2024,0.0,9505,102249
2024,0.0,34545,67704
2024,0.0,28145,39559
2022,2.0,5120,61577
2022,2.0,13718,47859
2022,2.0,13419,34440
2025,0.0,208760,535358
2025,0.0,15833,519525
2025,0.0,111483,408042
2019,0.0,180,2524
2019,0.0,43,2481
2019,0.0,755,1726
2019,0.0,1045,681
2019,0.0,130,551
2019,0.0,551,0
2018,7.0,13576,17910
2018,7.0,2601,15309
2018,7.0,1134,14175
2018,7.0,14175,0
2019,0.0,30173,58831
2019,0.0,7825,51006
2019,0.0,13756,37250
2019,0.0,37250,0
2021,1.0,143007,0
2020,2.0,1318,165687
2020,2.0,35835,129852
2020,2.0,7599,122253
2020,2.0,6644,115609
2021,4.0,23006,30608
2021,4.0,30608,0
2021,3.0,50803,87300
2021,3.0,87300,0
2021,0.0,13419,50951
2021,0.0,22323,28628
2021,0.0,28628,0
2018,6.0,6931,23358
2018,6.0,14601,8757
2018,6.0,5775,2982
2018,6.0,2982,0
2023,1.0,3939,190292
2023,1.0,11657,178635
2023,1.0,973,177662
2023,1.0,38954,138708
2023,1.0,7534,131174
2020,0.0,176956,442426
2020,0.0,170772,271654
2020,0.0,138265,133389
2020,0.0,85870,47519
2020,0.0,47519,0
2020,5.0,1273410,0
2019,4.0,7470,12253
2019,4.0,9644,2609
2019,4.0,2609,0
2019,4.0,677,27946
2019,4.0,6593,21353
2019,4.0,13412,7941
2019,4.0,731,7210
2019,4.0,4512,2698
2019,4.0,2698,0
2021,1.0,41370,75438
2021,1.0,75438,0
2020,5.0,35962,56387
2020,5.0,15115,41272
2020,5.0,26968,14304
2020,5.0,14304,0
2022,0.0,233305,228129
2022,0.0,82523,145606
2022,0.0,74490,71116
2022,0.0,12446,58670
2022,0.0,58670,0
2020,0.0,61183,130610
2020,0.0,21555,109055
2020,0.0,28210,80845
2020,0.0,30924,49921
2020,0.0,1226,48695
2020,0.0,48695,0
2024,1.0,57181,120914
2024,1.0,52335,68579
2024,1.0,15758,52821
2024,1.0,19888,32933
2024,1.0,13529,19404
2024,1.0,19404,0
2022,3.0,67179,58289
2022,3.0,33277,25012
2022,3.0,21239,3773
2022,3.0,3773,0
2022,3.0,10813,54389
2022,3.0,8872,45517
2022,3.0,16624,28893
2022,3.0,28893,0
2024,0.0,18112,70522
2024,0.0,14692,55830
2024,0.0,19899,35931
2024,0.0,5142,30789
2018,0.0,39154,160129
2018,0.0,160129,0
2019,0.0,2354,9848
2019,0.0,7504,2344
2019,0.0,2344,0
2025,0.0,190253,0
2021,4.0,185672,0
2019,3.0,71825,0
2023,1.0,8844,10510
2019,2.0,14487,417063
2019,2.0,34949,382114
2019,2.0,17027,365087
2019,2.0,63015,302072
2019,2.0,14592,287480
2019,2.0,287480,0
2019,4.0,16027,34988
2024,0.0,5451,41816
2024,0.0,2212,39604
2024,0.0,3890,35714
2024,0.0,28408,7306
2024,0.0,7306,0
2019,4.0,85225,164733
2019,4.0,164733,0
2024,0.0,3140,21484
2024,0.0,270,21214
2024,0.0,7344,13870
2024,0.0,3179,10691
2024,0.0,8268,2423
2024,0.0,2423,0
2018,1.0,10005,5538
2018,1.0,5538,0
2022,0.0,19490,128816
2022,0.0,30374,98442
2022,0.0,19031,79411
2022,0.0,25369,54042
2022,0.0,30616,23426
2023,2.0,208592,223376
2023,2.0,223376,0
2024,1.0,12468,27836
2024,1.0,11611,16225
2024,1.0,4062,12163
2024,1.0,2980,9183
2024,1.0,9183,0
2019,4.0,15876,25003
2019,4.0,13068,11935
2019,4.0,11935,0
2021,0.0,137839,0
2021,4.0,147269,81874
2021,4.0,30646,51228
2021,4.0,51228,0
2019,5.0,115635,0
2023,0.0,13668,44804
2024,1.0,1485,25004
2024,1.0,1113,23891
2024,1.0,3819,20072
2024,1.0,1751,18321
2024,1.0,1628,16693
2024,1.0,830,15863
2019,0.0,11331,8004
2019,0.0,8004,0
2019,2.0,1542,72848
2019,2.0,22873,49975
2019,2.0,49975,0
2018,5.0,782,23921
2018,5.0,2313,21608
2018,5.0,5962,15646
2018,5.0,10569,5077
2018,5.0,5077,0
2024,1.0,3622,16132
2024,1.0,10348,5784
2024,1.0,5784,0
2024,0.0,1689,45248
2024,0.0,5892,39356
2024,0.0,5254,34102
2024,0.0,1960,32142
2024,0.0,3388,28754
2024,0.0,1863,26891
2022,2.0,31227,159046
2022,2.0,2015,157031
2022,2.0,11299,145732
2022,2.0,15342,130390
2022,2.0,26153,104237
2023,1.0,286224,0
2023,2.0,2411,153111
2023,2.0,26747,126364
2023,2.0,3800,122564
2023,2.0,1731,120833
2023,2.0,2033,118800
2023,2.0,12070,106730
2025,0.0,1720,27255
2025,0.0,5237,22018
2025,0.0,5054,16964
2025,0.0,1679,15285
2021,3.0,65416,0
2023,0.0,128861,177752
2024,1.0,4866,48287
2024,1.0,3472,44815
2024,1.0,24972,19843
2024,0.0,30783,156430
2024,0.0,68228,88202
2024,0.0,10117,78085
2019,5.0,117589,0
2019,3.0,198189,85312
2019,3.0,62052,23260
2019,3.0,23260,0
2023,2.0,1072,79932
2023,2.0,34345,45587
2023,2.0,16982,28605
2023,2.0,8801,19804
2023,2.0,19804,0
2022,2.0,13142,112866
2022,2.0,9724,103142
2022,2.0,103142,0
2025,0.0,31259,507989
2025,0.0,55569,452420
2025,0.0,25578,426842
2025,0.0,138939,287903
2025,0.0,147870,140033
2025,0.0,35994,104039
2019,0.0,37315,0
2020,1.0,112122,0
2020,3.0,2954,62917
2020,3.0,6122,56795
2020,3.0,6210,50585
2022,1.0,24583,87883
2022,1.0,21945,65938
2022,1.0,39479,26459
2022,1.0,21795,4664
2022,1.0,4664,0
2021,3.0,39569,36090
2021,3.0,36090,0
2023,1.0,7151,11611
2023,1.0,1922,9689
2023,1.0,1507,8182
2023,1.0,2234,5948
2023,1.0,2857,3091
2021,1.0,18876,40301
2021,1.0,9073,31228
2021,1.0,9101,22127
2021,1.0,22127,0
2019,1.0,63639,128155
2019,1.0,63083,65072
2019,1.0,49992,15080
2019,1.0,15080,0
2023,0.0,10827,321667
2023,0.0,11613,310054
2023,0.0,64913,245141
2023,0.0,92176,152965
2023,0.0,51289,101676
2022,2.0,5607,33553
2022,2.0,6950,26603
2022,2.0,4377,22226
2022,2.0,7836,14390
2022,2.0,6452,7938
2022,2.0,7938,0
2023,0.0,43325,122518
2023,0.0,3586,118932
2023,0.0,18833,100099
2023,0.0,54442,45657
2023,0.0,11853,33804
2023,0.0,33804,0
2024,0.0,3134,47372
2024,0.0,15841,31531
2024,0.0,10205,21326
2024,0.0,1811,19515
2024,0.0,1538,17977
2021,3.0,30219,233018
2021,3.0,9949,223069
2021,3.0,29809,193260
2021,3.0,120708,72552
2021,3.0,18525,54027
2021,3.0,54027,0
2021,3.0,171455,44582
2019,1.0,10149,20770
2019,1.0,245,20525
2019,1.0,20525,0
2019,0.0,68187,87633
2019,0.0,22683,64950
2019,0.0,19246,45704
2019,0.0,5403,40301
2019,0.0,20798,19503
2019,0.0,19503,0
2019,4.0,2935,24092
2019,4.0,1784,22308
2019,4.0,3799,18509
2019,4.0,14069,4440
2019,4.0,3568,872
2019,4.0,872,0
2019,2.0,18351,14116
2019,2.0,7872,6244
2019,2.0,2256,3988
2019,2.0,3988,0
2023,0.0,1746,37083
2023,0.0,4592,32491
2023,0.0,77,32414
2023,0.0,1317,31097
2023,0.0,84,31013
2019,5.0,1519,24861
2019,5.0,16935,7926
2019,5.0,5819,2107
2019,5.0,1785,322
2019,5.0,322,0
2019,1.0,603,15461
2019,1.0,1006,14455
2019,1.0,5729,8726
2019,1.0,3982,4744
2019,1.0,4744,0
2024,0.0,68642,46844
2024,0.0,34905,11939
2022,3.0,637,27516
2022,3.0,193,27323
2022,3.0,7788,19535
2022,3.0,3792,15743
2022,3.0,7652,8091
2020,3.0,40132,5237
2018,5.0,52952,47198
2018,5.0,47198,0
2018,2.0,8850,30518
2018,2.0,2996,27522
2018,2.0,16705,10817
2018,2.0,647,10170
2018,2.0,5817,4353
2018,2.0,4353,0
2019,6.0,6856,94133
2019,6.0,94133,0
2020,2.0,76367,0
2021,4.0,16508,38181
2021,4.0,38181,0
2019,5.0,51001,16634
2020,5.0,32262,0
2019,6.0,20773,49949
2019,6.0,46464,3485
2019,6.0,3485,0
2021,4.0,12145,11683
2021,4.0,2474,9209
2021,4.0,2269,6940
2021,4.0,3857,3083
2021,4.0,1475,1608
2021,4.0,1608,0
2024,1.0,1672,140159
2024,1.0,8832,131327
2024,1.0,31728,99599
2024,0.0,26220,80500
2024,0.0,43965,36535
2024,0.0,4400,32135
2024,0.0,32135,0
2022,1.0,4698,147332
2022,1.0,84013,63319
2022,1.0,27855,35464
2022,1.0,3518,31946
2022,1.0,31946,0
2020,2.0,7815,47867
2020,2.0,2011,45856
2020,2.0,6735,39121
2019,3.0,102257,106831
2019,3.0,46206,60625
2019,3.0,51491,9134
2019,3.0,9134,0
2019,6.0,8747,64259
2019,6.0,14381,49878
2019,6.0,45261,4617
